Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Industrial Application Focus,"Reasoning for ""Industrial Application Focus""",Industrial Water Context,"Reasoning for ""Industrial Water Context""",Metal Scope Relevance,"Reasoning for ""Metal Scope Relevance""",Microalgae Biosorbent,"Reasoning for ""Microalgae Biosorbent""",Microalgae Component Required,"Reasoning for ""Microalgae Component Required""",Quantitative Performance Data,"Reasoning for ""Quantitative Performance Data""",Study Type,"Reasoning for ""Study Type""",Target Metals,"Reasoning for ""Target Metals""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Metal biosorption onto non-living algae: a critical review on metal recovery from wastewater,The widespread occurrence of metals in water bodies has been fueling the development of platforms for removing and recovering these elements. Biosorption has emerged as a potential tool for metal...,"A. R. Carreira, H. Passos, João A. P. Coutinho",10.1039/d3gc01993d,https://doi.org/10.1039/d3gc01993d,Green Chemistry,6,2023,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Microalgal biosorption of heavy metals: A comprehensive bibliometric review.,"Heavy metals in the effluents released from industrial establishments pose risks to the environment and society. Prevalent organisms such as microalgae in industrial wastes can thrive in this harmful environment. The connection of the metal-binding proteins of the microalgal cell wall to the metal ions of the heavy metals enables microalgae as an ideal medium for biosorption. The current literature lacks the review of various microalgae used as biosorption of heavy metals from industrial effluents. This work aims to comprehensively review the literature on the use of microalgae as a biosorption for heavy metals. The study summarizes the application of different microalgae for heavy metals removal by identifying the various factors affecting the biosorption performance. Approaches to quantifying the heavy metals concentration are outlined. The methods of microalgae to generate biocompounds to enable biosorption of heavy metals are itemized. The study also aims to identify the materials produced by microalgae to facilitate biosorption. The industrial sectors with the potential benefit from the adoption of microalgal biosorption of heavy metals are recognized. Moreover, the current challenges and future perspectives of microalgal biosorption are discussed.
Copyright © 2020 Elsevier B.V. All rights reserved.","A. Ubando, A. Africa, M. Maniquiz-Redillas, A. Culaba, Wei-hsin Chen, Jo‐Shu Chang",10.1016/j.jhazmat.2020.123431,https://doi.org/10.1016/j.jhazmat.2020.123431,Journal of Hazardous Materials,178,2020,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
New Prospects for Modified Algae in Heavy Metal Adsorption.,"Heavy metal pollution is one of the most pervasive environmental problems globally. Novel finely tuned algae have been proposed as a means to improve the efficacy and selectivity of heavy metal biosorption. This article reviews current research on selective algal heavy metal adsorption and critically discusses the performance of novel biosorbents. We emphasize emerging state-of-the-art techniques that customize algae for enhanced performance and selectivity, particularly molecular and chemical extraction techniques as well as nanoparticle (NP) synthesis approaches. The mechanisms and processes for developing novel algal biosorbents are also presented. Finally, we discuss the applications, challenges, and future prospects for modified algae in heavy metal biosorption.
Copyright © 2019 Elsevier Ltd. All rights reserved.","Sze Yin Cheng, P. Show, B. F. Lau, Jo‐Shu Chang, T. Ling",10.1016/j.tibtech.2019.04.007,https://doi.org/10.1016/j.tibtech.2019.04.007,Trends in Biotechnology,249,2019,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Towards sustainable development of microalgal biosorption for treating effluents containing heavy metals,"Effluents containing heavy metals are hazardous to human health and the environment even at low concentrations. It is costly and unsustainable to use conventional methods to remove heavy metals from dilute effluents. Microalgal biomass owing to its high metal biosorption capacity, is a promising alternative biosorbent for treating dilute heavy metal solutions. However, the application of freely suspended algal biomass for metal removal has a number of drawbacks such as small particle size, low chemical resistance, low mechanical strength, and difficulty in separation of biomass and effluent. The present article reviews the techniques used to address these drawbacks. It also discusses the key factors affecting biosorption efficiency including initial concentration of metal ions, contact time, solution pH, solution temperature, biosorbent concentration, agitation rate, and competing ions. Biomass cross-linking with appropriate agents such as polysolfane, formaldehyde, or chlorohydrin could improve mechanical strength, chemical resistance, and separation of the biomass from the effluent. However, cross-linked biomass usually shows low sorption capacity and slow rate of metal uptake. These disadvantages could be minimized by using physical and/or chemical pretreatments prior to biomass cross-linking. Alkaline detergent, sodium hydrogen carbonate without autoclaving, sodium hydroxide or sodium carbonate plus autoclaving, or supercritical carbon dioxide at mild conditions are among the most effective pretreatments. Apart from liberating more latent metal binding sites on the biomass, supercritical CO2 could also improve the porosity of the biomass thereby improving sorption rate of the cross-linked biomass. High sorption capacity and rapid metal uptake will allow substantial reduction in size of biosorption columns, which will consequently improve the economic and sustainability features of algal-based metal biosorption processes.",K. A. Salam,10.18331/BRJ2019.6.2.2,https://doi.org/10.18331/BRJ2019.6.2.2,-,50,2019,yes,"The paper has a clear industrial wastewater treatment focus, discussing practical applications, cost-effectiveness, and industrial-scale implementation.",yes,"The paper discusses industrial effluents and mentions ""dilute industrial effluents"" as a target application. It specifically addresses the challenges of treating industrial wastewaters.",maybe,"While the paper includes some target metals (copper, nickel, cobalt), it focuses more heavily on non-target metals like lead, cadmium, and chromium. However, the discussion of metal classification and behavior includes relevant metals.",yes,"The paper extensively discusses microalgae as biosorbents, including both living and dead microalgae, and specifically focuses on their use for metal removal from aqueous solutions.",yes,"Microalgae are the primary focus of the paper, with extensive discussion of their use as biosorbents.",yes,"The paper includes extensive discussion of quantitative performance metrics, including biosorption capacity, removal efficiency, and various operating parameters affecting performance.",yes,This is a review article that systematically examines experimental investigations and provides detailed analysis of various studies.,maybe,"While the paper discusses heavy metals broadly, it doesn't specifically focus on copper or the other target metals. It mentions copper in some examples but primarily discusses other metals like lead, cadmium, and chromium. However, it does include some discussion of nickel and cobalt in the context of metal classification.",Include,"Microalgae biosorption for metal removal demonstrates strong potential in industrial wastewater treatment, with comprehensive coverage of performance metrics, operating parameters, and practical implementation strategies. The study provides detailed insights into microalgae's capabilities as a biosorbent, addressing key challenges in industrial effluent treatment while exploring various modification techniques to enhance metal removal efficiency. While not exclusively focused on target metals, the research offers valuable systematic analysis of biosorption mechanisms and industrial-scale applications.",4.3
Bioremoval of heavy metals by the use of microalgae.,"Bioremoval, the use of biological systems for the removal of metal ions from polluted waters, has the potential to achieve greater performance at lower cost than conventional wastewater treatment technologies for metal removal. Bioremoval capabilities of microalgae have been extensively studied, and some commercial applications have been initiated. Although microalgae are not unique in their bioremoval capabilities, they offer advantages over other biological materials in some conceptual bioremoval process schemes. Selected microalgae strains, purposefully cultivated and processed for specific bioremoval applications, have the potential to provide significant improvements in dealing with the world-wide problems of metal pollution. In addition to strain selection, significant advances in the technology appear possible by improving biomass containment or immobilization techniques and by developing bioremoval process steps utilizing metabolically active microalgae cultures. The latter approach is especially attractive in applications where extremely low levels of residual metal ions are desired. This review summarizes the current literature, highlighting the potential benefits and problems associated with the development of novel algal-based bioremoval processes for the abatement of heavy metal pollution.","Edward W. Wilde, J. Benemann",10.1016/0734-9750(93)90003-6,https://doi.org/10.1016/0734-9750(93)90003-6,Biotechnology Advances,487,1993,maybe,"While the study discusses metal pollution and treatment, it doesn't explicitly frame the work in an industrial wastewater treatment context. The focus seems more general, though the methods and approach are relevant to industrial applications.",maybe,"The study uses synthetic solutions (modified F/2 medium) rather than actual industrial wastewaters. While this mimics industrial conditions, it's not explicitly stated whether these conditions are specifically industrial-relevant.",yes,"The study focuses on copper, which is one of the target metals specified in the criteria.",yes,The study clearly investigates microalgae (Phormidium formosum and Oscillatoria simplicissima) as biosorbents for metal removal. Both living microalgae are used in the experiments.,yes,"The study exclusively focuses on microalgae as the biosorbent component, using two specific species.",yes,"The study reports detailed quantitative biosorption performance data, including removal efficiency percentages (e.g., 90% for P. formosum and 80% for O. simplicissima) and various experimental parameters.",yes,"This is clearly an experimental investigation conducted at laboratory scale, with controlled conditions and systematic testing of various parameters.",yes,"The study focuses on copper (Cu2+), which is one of the target metals specified in the criteria. While other metals are mentioned in the discussion, copper is the primary focus of the experimental work.",Include,"This experimental study investigates microalgae biosorption of copper using two specific species, providing quantitative performance data on metal removal efficiency across various experimental conditions. The research meets key screening criteria by focusing on a target metal, employing microalgae as a biosorbent, and conducting a systematic laboratory-scale investigation with detailed performance metrics. While demonstrating strong potential for metal pollution mitigation, the study maintains a somewhat general approach without explicit industrial wastewater treatment framing.",4.6
Algae as a green technology for heavy metals removal from various wastewater,"Urbanization, industrialization, and natural earth processes have potentially increased the contamination of heavy metals (HMs) in water bodies. These HMs can accumulate in human beings through the consumption of contaminated water and food chains. Various clean-up technologies have been applied to sequester HMs, especially conventional methods including electrolytic technologies, ion exchange, precipitation, chemical extraction, hydrolysis, polymer micro-encapsulation, and leaching. However, most of these approaches are expensive for large-scale projects and require tedious control and constant monitoring, along with low efficiency for effective HMs removal. Algae offer an alternative, sustainable, and environmentally friendly HMs remediation approach. This review presents a state-of-the-art technology for potential use of algae as a low-cost biosorbent for the removal of HMs from wastewater. The mechanisms of HMs removal, including biosorption and bioaccumulation along with physical and chemical characterization of the algae are highlighted. The influence of abiotic factors on HMs removal and changes in algal biocomponents (including, carbohydrate, lipid, and protein) are discussed. Recent progresses made in the development of HMs-tolerant algal strains and the direction of future research toward the development of sustainable technology for advanced wastewater treatment and biomass production are covered.","El-Sayed Salama, Hyun-Seog Roh, Subhabrata Dev, M. A. Khan, R. Abou-Shanab, S. Chang, Byong-hun Jeon",10.1007/s11274-019-2648-3,https://doi.org/10.1007/s11274-019-2648-3,World Journal of Microbiology & Biotechnology,150,2019,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Biosorption of Heavy Metals with Algae: Critical Review of Its Application in Real Effluents,"Biosorption is a variant of sorption techniques in which the adsorbent is a material of biological origin. It has become an economic and ecological alternative for the treatment of effluents. Among the biomasses employed in biosorption, algae have emerged as a sustainable solution for producing environmentally friendly adsorbents due to their abundance in seawater and freshwater, profitability, reuse and high metal absorption capacities. Although the research on the use of biosorbents is extensive and has grown in recent years, there are not many cases of their use for the treatment of real industrial solutions, which are more challenging due to the complex composition of metals that results in interference or competition over the functional sites of the biomass. This review aims to highlight the current state of research, focusing on the application of algae biosorption to remove copper from effluents. The most studied metals are those with the most significant health connotations, such as Cd, Cu and Pb. Regarding copper, only 2% of the biosorption works using seaweeds have been applied to real effluents, which leaves a relevant gap to advance the technology in the treatment of polluted solutions.","J. Ordóñez, S. Cortés, P. Maluenda, I. Soto",10.3390/su15065521,https://doi.org/10.3390/su15065521,Sustainability,50,2023,yes,"The paper strongly emphasizes industrial applications, particularly mining and electroplating industries.",yes,"The paper strongly meets this criterion, discussing various industrial contexts including mining effluents, electroplating operations, and industrial wastewater. It specifically mentions that ""only 2% of the publications on copper biosorption with algae used non-reconstituted effluents,"" indicating a focus on real industrial applications.",yes,The paper focuses heavily on copper and includes other relevant metals like nickel and cobalt.,maybe,"The paper discusses both microalgae and macroalgae as biosorbents, with significant focus on various types of algae including microalgae like Chlorella vulgaris and Spirulina sp. However, it's a review paper that covers both microalgae and macroalgae rather than focusing exclusively on microalgae.",maybe,"While the paper includes microalgae, it's not exclusively focused on microalgae and covers macroalgae extensively. However, it does include significant discussion of microalgae applications.",yes,"The paper includes various quantitative data points, such as removal efficiencies (e.g., ""60-75% efficiency""), biosorption capacities (e.g., ""0.31 mmol/g""), and specific experimental conditions.",yes,"This is a review paper that synthesizes experimental studies and discusses their findings. While it's not a primary experimental study, systematic reviews are explicitly included in the criteria.",yes,"The paper extensively covers copper, which is one of the target metals. It also mentions other relevant metals like nickel and cobalt, though these are not the primary focus.",Include,"This comprehensive review explores biosorption techniques using algae for heavy metal removal, with a strong emphasis on industrial wastewater treatment and copper recovery. The study provides quantitative performance data across multiple industrial contexts, including mining and electroplating operations, while covering both microalgae and macroalgae as potential biosorbents. Despite being a review paper, it meets most screening criteria by offering detailed insights into metal removal mechanisms, experimental conditions, and potential industrial applications.",4.6
Microalgae - A promising tool for heavy metal remediation.,"Biotechnology of microalgae has gained popularity due to the growing need for novel environmental technologies and the development of innovative mass-production. Inexpensive growth requirements (solar light and CO2), and, the advantage of being utilized simultaneously for multiple technologies (e.g. carbon mitigation, biofuel production, and bioremediation) make microalgae suitable candidates for several ecofriendly technologies. Microalgae have developed an extensive spectrum of mechanisms (extracellular and intracellular) to cope with heavy metal toxicity. Their wide-spread occurrence along with their ability to grow and concentrate heavy metals, ascertains their suitability in practical applications of waste-water bioremediation. Heavy metal uptake by microalgae is affirmed to be superior to the prevalent physicochemical processes employed in the removal of toxic heavy metals. In order to evaluate their potential and to fill in the loopholes, it is essential to carry out a critical assessment of the existing microalgal technologies, and realize the need for development of commercially viable technologies involving strategic multidisciplinary approaches. This review summarizes several areas of heavy metal remediation from a microalgal perspective and provides an overview of various practical avenues of this technology. It particularly details heavy metals and microalgae which have been extensively studied, and provides a schematic representation of the mechanisms of heavy metal remediation in microalgae.
Copyright © 2014 Elsevier Inc. All rights reserved.","Kamalesh Kumar, H. Dahms, H. Dahms, Eun-Ji Won, Jae-Seong Lee, K. Shin",10.1016/j.ecoenv.2014.12.019,https://doi.org/10.1016/j.ecoenv.2014.12.019,Ecotoxicology and Environmental Safety,685,2015,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Perspectives on the feasibility of using microalgae for industrial wastewater treatment.,"Although microalgae can serve as an appropriate alternative feedstock for biofuel production, the high microalgal cultivation cost has been a major obstacle for commercializing such attempts. One of the feasible solution for cost reduction is to couple microalgal biofuel production system with wastewater treatment, as microalgae are known to effectively eliminate a variety of nutrients/pollutants in wastewater, such as nitrogen/phosphate, organic carbons, VFAs, pharmaceutical compounds, textile dye compounds, and heavy metals. This review aims to critically discuss the feasibility of microalgae-based wastewater treatment, including the strategies for strain selection, the effect of wastewater types, photobioreactor design, economic feasibility assessment, and other key issues that influence the treatment performance. The potential of microalgae-bacteria consortium for treatment of industrial wastewaters is also discussed. This review provides useful information for developing an integrated wastewater treatment with microalgal biomass and biofuel production facilities and establishing efficient co-cultivation for microalgae and bacteria in such systems.
Copyright © 2016 Elsevier Ltd. All rights reserved.","Yue Wang, Shih‐Hsin Ho, Chieh-Lun Cheng, Wanqian Guo, Dillirani Nagarajan, N. Ren, Duu-Jong Lee, Jo‐Shu Chang",10.1016/j.biortech.2016.09.106,https://doi.org/10.1016/j.biortech.2016.09.106,Bioresource Technology,374,2016,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Copper Ions Biosorption Properties of Biomass Derived from Algerian Sahara Plants,"Biosorption of heavy metals from aqueous solutions is a relatively new technology for the treatment of industrial wastewater, which utilized naturally occurring waste materials derived from biomass. Generaly Heavy metals eliminated by biosorption are usually classified on three categories: toxic metals (such as Hg, Cr, Pb, Zn, Cu, Ni, Cd, As, Co, Sn, etc.), precious metals (such as Pd, Pt, Ag, Au, Ru etc.) and radionuclides (such as U, Th, Ra, Am, etc.), whose specific weight is usually more than 5.0 g/cm3 [Bishop, 2002; Volesky, 1990; Wang & Chen, 2006]. The heavy metal ions are stable and persistent environmental contaminants since they cannot be degraded and destroyed. These metal ions can be harmful to aquatic life and water contaminated by toxic metal ions remains a serious public health problem for human health. Numerous methods exist to remove heavy metals ions from aqueous solutions by chemical precipitation or by activated carbon as the most used adsorbent, nevertheless it is relatively expensive [Demirbas, 2008; Gabaldon et al, 1996]. The toxicity of heavy metals is apparent in reducing growth and development in microorganisms and plants, and seriously harming the health of animals and humans. In particular, heavy metals may disrupt the normal function of the central nervous system and cause changes in the blood content, and adversely affect the function of lungs, kidneys, liver and other organs. The long-term action of heavy metals may cause the development of cancer, allergy, dystrophy, physical and neurological degenerative processes, Alzheimer's and Parkinson's diseases. However, in small amounts, heavy metals are indispensable for many organisms, but their enhanced doses induce acute or chronic poisoning [Kvesitadze et al, 2006] Adsorbent materials derived from Biomass can be used for the effective removal and recovery of heavy metal ions from wastewater: from algae [Farooq et al, 2010; Hamdy, 2000], fungi [Kapoor et al., 1999], bacteria [Ozturk, 2007], sea-weeds [Elangovan et al., 2008], some higher plants (Rahman et al., 2005), and agricultural wastes[Demirbas, 2008; Park et al, 2006]. Several reviews articles have been published about the use of certain cellulosic agricultural waste materials for the removal of heavy metal ions [Sud et al., 2008], the use of microbial","A. Cheriti, M. Talhi, N. Belboukhari, S. Taleb",10.5772/21176,https://doi.org/10.5772/21176,-,6,2011,yes,"The study has an industrial wastewater treatment context, though it uses synthetic solutions rather than actual industrial wastewater.",maybe,"While the paper discusses industrial wastewater treatment in its introduction, the actual experiments appear to use synthetic solutions rather than real industrial wastewaters. However, the context is industrial.",yes,"The study focuses on copper, which is one of the target metals.",no,"The study uses Sahara plants (Acacia raddiana, Anabasis aretioides, Retama raetam, and Tamarix gallica) as biosorbents, not microalgae. While the paper mentions algae in its literature review, the actual study does not use microalgae.",no,The study does not include any microalgae component. It exclusively uses terrestrial plants from the Sahara region.,yes,"The study reports detailed quantitative biosorption performance data, including removal efficiencies (e.g., 86%, 79%, and 81% for different plants) and adsorption capacities.",yes,This is an experimental investigation conducted at laboratory scale.,yes,"The study focuses on copper, which is one of the target metals specified in the criteria.",Exclude,"The study investigates copper biosorption using Sahara plants, demonstrating strong performance in metal removal with quantitative data and industrial wastewater treatment context. However, the research fails to meet critical screening criteria by not utilizing microalgae as biosorbents, which disqualifies it from inclusion in a microalgae-focused systematic review. Despite comprehensive experimental design and relevant metal target, the absence of microalgae components renders the study non-compliant with the specified screening requirements.",1.4
